comparison,target,model,min_rating_count_filter,pr_auc_left,pr_auc_right,pr_auc_delta,precision_at_10_delta,lift_at_10_delta
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,HistGradientBoostingClassifier,0,0.49160651124358534,0.5053543744128332,0.01374786316924781,0.022140221402214166,0.07327681599949387
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,LogisticRegression,0,0.4866732246555971,0.5001491295183431,0.013475904862746024,0.0073800738007380184,0.024425605333164846
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,ExtraTreesClassifier,25,0.5539090232088771,0.5672905333438962,0.013381510135019092,0.008108108108108247,0.027930128364510587
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,ExtraTreesClassifier,0,0.5000582685476612,0.5132585726276694,0.013200304080008163,0.00959409594095939,0.030237543461284266
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_global_m25,XGBoostClassifier,0,0.5081124157741523,0.5212579980700127,0.01314558229586038,0.013284132841328455,0.044885685689547206
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,XGBoostClassifier,0,0.535793289497619,0.5487436371163735,0.012950347618754576,0.00811808118081181,0.027436290474594838
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,ExtraTreesClassifier,25,0.5316988758159702,0.5444263243459049,0.012727448529934682,0.02297297297297296,0.08179103335966253
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,ExtraTreesClassifier,0,0.49632351355875237,0.5082447103167262,0.011921196757973873,0.022878228782287846,0.07571937653281058
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,ExtraTreesClassifier,0,0.5021052490082025,0.5139760166909555,0.01187076768275297,0.00959409594095939,0.030326651984090347
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,ExtraTreesClassifier,0,0.49567943185637614,0.5075167033743073,0.01183727151793118,0.012546125461254554,0.041523529066379794
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,ExtraTreesClassifier,0,0.49868336589899753,0.5101374734029047,0.011454107503907185,0.010332103321033181,0.032803190583331476
