seed,target,feature_set,model,min_rating_count_filter,n_obs,positive_class_share,pr_auc,roc_auc,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20,lift_at_5,lift_at_10,lift_at_20,default_f1,tuned_f1,best_threshold,brier_score
22,low_rating_bottom30_bayes_global_m25,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.3039940828402367,0.5178954333585843,0.6971003307037346,0.6544117647058824,0.6642066420664207,0.5656192236598891,0.10827250608272507,0.21897810218978103,0.3722627737226277,2.152712179762416,2.1849327982330915,1.8606257673678104,0.5201427842937277,0.5201427842937277,0.5,0.21863190645242336
22,low_rating_bottom30_bayes_global_m25,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.3039940828402367,0.5264333922625706,0.7151028698051201,0.7279411764705882,0.6420664206642066,0.5711645101663586,0.12043795620437957,0.2116788321167883,0.3759124087591241,2.3945899527694285,2.112101704958655,1.8788671964596515,0.3351063829787234,0.5027863777089784,0.35,0.18485255271701007
22,low_rating_bottom30_bayes_global_m25,content_plus_reliability,ExtraTreesClassifier,0,2704,0.3039940828402367,0.5356365950728977,0.7162101714022718,0.6838235294117647,0.6642066420664207,0.5711645101663586,0.11313868613138686,0.21897810218978103,0.3759124087591241,2.249463288965221,2.1849327982330915,1.8788671964596515,0.3956228956228956,0.3956228956228956,0.5,0.1937164085569384
22,low_rating_bottom30_bayes_global_m25,content_plus_reliability,XGBoostClassifier,0,2704,0.3039940828402367,0.5449181286902243,0.7163336358535597,0.7647058823529411,0.6789667896678967,0.5859519408502772,0.12652068126520682,0.22384428223844283,0.38564476885644766,2.515528839272935,2.233486860416049,1.927511007371228,0.3830888697152718,0.515451174289246,0.35,0.18307018280029297
22,low_rating_bottom30_bayes_category_m25,content_plus_reliability,DummyClassifier,0,2704,0.29770710059171596,0.29770710059171596,0.5,0.27941176470588236,0.2988929889298893,0.2957486136783734,0.04720496894409938,0.10062111801242236,0.19875776397515527,0.9385458531238583,1.0039834062936903,0.9934214302935673,0.0,0.45882017668851527,0.05,0.20908590511790204
22,low_rating_bottom30_bayes_category_m25,content_plus_reliability,LogisticRegression,0,2704,0.29770710059171596,0.5330322490207807,0.7271025286273587,0.6838235294117647,0.6642066420664207,0.55637707948244,0.115527950310559,0.2236024844720497,0.3739130434782609,2.296967482645232,2.2310742362082006,1.8688740657397735,0.4215456674473068,0.5455470737913486,0.3,0.18135402030994704
22,low_rating_bottom30_bayes_category_m25,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.29770710059171596,0.5316100884859243,0.7271365445690606,0.6617647058823529,0.6568265682656826,0.5545286506469501,0.11180124223602485,0.22111801242236026,0.37267080745341613,2.222871757398612,2.206284522472554,1.8626651818004387,0.5500762582613117,0.5500762582613117,0.5,0.20981737833857594
22,low_rating_bottom30_bayes_category_m25,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.29770710059171596,0.5534639971674428,0.7355312864894566,0.75,0.6531365313653137,0.5914972273567468,0.1267080745341615,0.21987577639751552,0.39751552795031053,2.519254658385093,2.193889665604731,1.9868428605871347,0.33728350045578853,0.528069093152375,0.35,0.17806873643347915
22,low_rating_bottom30_bayes_category_m25,content_plus_reliability,ExtraTreesClassifier,0,2704,0.29770710059171596,0.5519448635294874,0.7390460490810788,0.7426470588235294,0.6715867158671587,0.5841035120147874,0.12546583850931678,0.22608695652173913,0.39254658385093166,2.4945560833028866,2.2558639499438473,1.9620073248297953,0.3989983305509182,0.30498533724340177,0.55,0.18766914696216938
22,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,0,2704,0.29770710059171596,0.5756223687604334,0.7487994662113764,0.7941176470588235,0.6937269372693727,0.6044362292051756,0.1341614906832298,0.23354037267080746,0.4062111801242236,2.667446108878334,2.3302330911507876,2.0303050481624783,0.3968531468531469,0.5210918114143921,0.35,0.17380079627037048
22,low_rating_bottom30_category_relative,content_plus_reliability,DummyClassifier,0,2704,0.3150887573964497,0.3150887573964497,0.5,0.3088235294117647,0.33210332103321033,0.3234750462107209,0.04929577464788732,0.1056338028169014,0.20539906103286384,0.9801159900579951,1.0539992723870901,1.0266156396171235,0.0,0.47919010123734535,0.05,0.21580841605297793
22,low_rating_bottom30_category_relative,content_plus_reliability,LogisticRegression,0,2704,0.3150887573964497,0.5167611662010431,0.7025972429247914,0.6985294117647058,0.6273062730627307,0.55637707948244,0.11150234741784038,0.19953051643192488,0.3532863849765258,2.2169290251311793,1.9908875145089482,1.7657789001414528,0.4087152516904583,0.5397894736842105,0.25,0.1929871592026353
22,low_rating_bottom30_category_relative,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.3150887573964497,0.5154654939467536,0.7024483111773594,0.6911764705882353,0.6273062730627307,0.5582255083179297,0.11032863849765258,0.19953051643192488,0.3544600938967136,2.1935929301297983,1.9908875145089482,1.7716452752249787,0.5395894428152492,0.5404965404965405,0.4,0.21839395061332217
22,low_rating_bottom30_category_relative,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.3150887573964497,0.5260490115182348,0.7046353897322017,0.7205882352941176,0.6420664206642066,0.5471349353049908,0.11502347417840375,0.20422535211267606,0.3474178403755869,2.286937310135322,2.0377319266150407,1.7364470247238206,0.3039568345323741,0.508169014084507,0.35,0.19108390921374213
22,low_rating_bottom30_category_relative,content_plus_reliability,ExtraTreesClassifier,0,2704,0.3150887573964497,0.5219884178719097,0.7106439935509384,0.6323529411764706,0.6125461254612546,0.55637707948244,0.10093896713615023,0.19483568075117372,0.3532863849765258,2.0069041701187516,1.944043102402855,1.7657789001414528,0.3491271820448878,0.3491271820448878,0.5,0.2000584955354868
22,low_rating_bottom30_category_relative,content_plus_reliability,XGBoostClassifier,0,2704,0.3150887573964497,0.5308996587863232,0.7058636013344284,0.7647058823529411,0.6383763837638377,0.5452865064695009,0.12206572769953052,0.20305164319248825,0.34624413145539906,2.4269538801436066,2.0260208235885178,1.730580649640294,0.3275563258232236,0.4968873797396718,0.35,0.18981242179870605
33,low_rating_bottom30_raw,content_plus_reliability,DummyClassifier,0,2704,0.3021449704142012,0.3021449704142012,0.5,0.33088235294117646,0.3173431734317343,0.2920517560073937,0.05507955936352509,0.10526315789473684,0.193390452876377,1.095111239110087,1.0503010293260826,0.9665947958922797,0.0,0.4640727066174382,0.05,0.21085341472016084
33,low_rating_bottom30_raw,content_plus_reliability,LogisticRegression,0,2704,0.3021449704142012,0.4932472141894857,0.7014125508617552,0.6617647058823529,0.5830258302583026,0.5378927911275416,0.11015911872705018,0.193390452876377,0.3561811505507956,2.190222478220174,1.9296228213200124,1.780247377244642,0.39656518345042935,0.5273454868830592,0.25,0.1907419715170907
33,low_rating_bottom30_raw,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.3021449704142012,0.49156697508208225,0.7010739589758958,0.6617647058823529,0.5867158671586716,0.532347504621072,0.11015911872705018,0.19461444308445533,0.3525091799265606,2.190222478220174,1.941835623986595,1.7618943114998518,0.5191447041272998,0.5297052154195011,0.45,0.2197787139548127
33,low_rating_bottom30_raw,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.3021449704142012,0.4892129316283585,0.7054075459288217,0.6029411764705882,0.5682656826568265,0.5304990757855823,0.1003671970624235,0.18849449204406366,0.35128518971848227,1.9955360357117142,1.880771610653683,1.7557766229182552,0.2836230558096981,0.5136612021857924,0.35,0.18834516783857952
33,low_rating_bottom30_raw,content_plus_reliability,ExtraTreesClassifier,0,2704,0.3021449704142012,0.504898749181883,0.7099519420060856,0.6397058823529411,0.6014760147601476,0.5489833641404805,0.10648714810281518,0.19951040391676866,0.3635250917992656,2.1172150622795014,1.990686834652924,1.816953508734222,0.34280792420327305,0.34280792420327305,0.5,0.1956068615522418
33,low_rating_bottom30_raw,content_plus_reliability,XGBoostClassifier,0,2704,0.3021449704142012,0.5004591871962364,0.7127508385338323,0.625,0.5940959409594095,0.5489833641404805,0.10403916768665851,0.19706242350061198,0.3635250917992656,2.0685434516523866,1.9662612293197594,1.816953508734222,0.3339130434782609,0.5121517486662714,0.35,0.1862361878156662
33,low_rating_bottom20_raw,content_plus_reliability,DummyClassifier,0,2704,0.21856508875739644,0.21856508875739644,0.5,0.2867647058823529,0.25092250922509224,0.21072088724584104,0.06598984771573604,0.11505922165820642,0.19289340101522842,1.312033442818752,1.1480447799401852,0.96411045535153,0.0,0.35872534142640367,0.05,0.17085747396717946
33,low_rating_bottom20_raw,content_plus_reliability,LogisticRegression,0,2704,0.21856508875739644,0.40103269935749825,0.7221142504342227,0.49264705882352944,0.47232472324723246,0.4195933456561922,0.11336717428087986,0.21658206429780033,0.3840947546531303,2.2540061709963175,2.1610254681227015,1.9197638014455902,0.29732868757259,0.4580152671755725,0.25,0.1565265133182589
33,low_rating_bottom20_raw,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.21856508875739644,0.4040055925641114,0.7236413372059036,0.5441176470588235,0.4797047970479705,0.4214417744916821,0.12521150592216582,0.21996615905245348,0.38578680203045684,2.4894993530407086,2.194791491062119,1.92822091070306,0.462819750148721,0.462819750148721,0.5,0.21237619477154793
33,low_rating_bottom20_raw,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.21856508875739644,0.41833414702450344,0.7296623993119702,0.5220588235294118,0.4797047970479705,0.43622920517560076,0.12013536379018612,0.21996615905245348,0.3993231810490694,2.3885737035931127,2.194791491062119,1.9958777847628164,0.21333333333333335,0.4107806691449814,0.35,0.15162942138782004
33,low_rating_bottom20_raw,content_plus_reliability,ExtraTreesClassifier,0,2704,0.21856508875739644,0.4179650375224306,0.7241041878372784,0.5441176470588235,0.46494464944649444,0.43253234750462105,0.12521150592216582,0.2131979695431472,0.39593908629441626,2.4894993530407086,2.1272594451832845,1.978963566247877,0.23989569752281617,0.23989569752281617,0.5,0.16417424983364654
33,low_rating_bottom20_raw,content_plus_reliability,XGBoostClassifier,0,2704,0.21856508875739644,0.4149141675313606,0.7311918884225682,0.5294117647058824,0.4944649446494465,0.4399260628465804,0.1218274111675127,0.22673434856175972,0.4027072758037225,2.422215586742311,2.2623235369409533,2.0127920032777555,0.20463847203274216,0.4003690036900369,0.35,0.15150140225887299
33,low_rating_bottom30_bayes_global_m25,content_plus_reliability,DummyClassifier,0,2704,0.2980769230769231,0.2980769230769231,0.5,0.3161764705882353,0.30996309963099633,0.28650646950092423,0.05334987593052109,0.10421836228287841,0.19230769230769232,1.060721062618596,1.0398762052136652,0.9611829944547136,0.0,0.45925925925925926,0.05,0.2092333962903228
33,low_rating_bottom30_bayes_global_m25,content_plus_reliability,LogisticRegression,0,2704,0.2980769230769231,0.5083828988117338,0.6964540184653037,0.6985294117647058,0.6162361623616236,0.5452865064695009,0.11786600496277916,0.20719602977667495,0.36600496277915634,2.3434535104364325,2.067372931793834,1.8293482797686484,0.40784313725490196,0.5173116089613035,0.3,0.18826434925026544
33,low_rating_bottom30_bayes_global_m25,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.2980769230769231,0.506252167203278,0.6951505698828857,0.6838235294117647,0.6199261992619927,0.5415896487985212,0.11538461538461539,0.20843672456575682,0.36352357320099254,2.294117647058824,2.0797524104273304,1.8169459185498777,0.5135273098519653,0.5135273098519653,0.5,0.22038425707368706
33,low_rating_bottom30_bayes_global_m25,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.2980769230769231,0.49018646409664435,0.6905505860942824,0.6470588235294118,0.5756457564575646,0.5471349353049908,0.10918114143920596,0.1935483870967742,0.36724565756823824,2.170777988614801,1.9311986668253778,1.8355494603780336,0.27981220657276995,0.49592986850344395,0.35,0.18848658390217712
