target,feature_set,model,min_rating_count_filter,n_obs_mean,n_obs_std,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,pearson_mean,pearson_std
continuous_category_residual,content_plus_quantity,DummyRegressor,0,2704.0,0.0,5,0.4167585130557245,0.019819370042755784,0.2825126600962654,0.006983985151018457,-0.0001503877772078166,0.0002342589587742178,,,9.80700431128381e-18,1.6445021568231695e-17
continuous_category_residual,content_plus_quantity,DummyRegressor,25,1480.0,0.0,5,0.2445943488585643,0.006876165069483143,0.18555749140698496,0.0039110555658313844,-0.00015198067761295063,0.0002852039889721909,,,-1.5308633458086853e-17,9.871710739609043e-18
continuous_category_residual,content_plus_quantity,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.40408438354340515,0.01858345493972281,0.2683930005948048,0.006646276140823757,0.059633422464694295,0.005464296342689121,0.2820013712876519,0.022091587093454934,0.2486741632439271,0.016838375587648738
continuous_category_residual,content_plus_quantity,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.21627903057907377,0.006778204770349683,0.15964635255891657,0.004284282708597418,0.21793951192860117,0.01920269742172919,0.4859233767215315,0.01650896174234039,0.46727038644263985,0.02070588782139483
continuous_category_residual,content_plus_quantity,Ridge,0,2704.0,0.0,5,0.40889575488291985,0.019667105157559397,0.2714753609314619,0.007354061930489457,0.03726508284809884,0.006140338475182132,0.28423921268934865,0.014921454296066497,0.22988275516933543,0.012351225882675546
continuous_category_residual,content_plus_quantity,Ridge,25,1480.0,0.0,5,0.21667498114636255,0.005775858333495654,0.16107065522013797,0.003320278286237006,0.21506431383680474,0.007346979038279724,0.4947500442946393,0.006119433792735958,0.4705864611038808,0.005999079621993944
continuous_category_residual,content_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.4167585130557245,0.019819370042755784,0.2825126600962654,0.006983985151018457,-0.0001503877772078166,0.0002342589587742178,,,9.80700431128381e-18,1.6445021568231695e-17
continuous_category_residual,content_plus_reliability,DummyRegressor,25,1480.0,0.0,5,0.2445943488585643,0.006876165069483143,0.18555749140698496,0.0039110555658313844,-0.00015198067761295063,0.0002852039889721909,,,-1.5308633458086853e-17,9.871710739609043e-18
continuous_category_residual,content_plus_reliability,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.4019601376023173,0.01831646777139801,0.26653055150189264,0.008129685608478225,0.06943818733302995,0.009294785964785909,0.2815700978621358,0.028957081613493547,0.271807841859382,0.01797879392802155
continuous_category_residual,content_plus_reliability,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.2140844622365221,0.00611688108935497,0.1576274789994164,0.004233747106518739,0.2337576343327033,0.01039788131576234,0.49365195417653795,0.008499827888735469,0.4844293535229567,0.011120012193524714
continuous_category_residual,content_plus_reliability,Ridge,0,2704.0,0.0,5,0.40328032553518706,0.019910359327281107,0.26842706623107976,0.007822851037327574,0.06362298187500907,0.005865225207975626,0.2837020628122943,0.017277468173775304,0.2682981099921991,0.010760836912050297
continuous_category_residual,content_plus_reliability,Ridge,25,1480.0,0.0,5,0.21293349200551287,0.005390710222194479,0.15849358529351348,0.0030061890944548105,0.2419093248763499,0.005039802840211075,0.5099385351344415,0.00912666916121562,0.4970227057448492,0.0024829505038705033
continuous_category_residual,content_quantity_interactions,DummyRegressor,0,2704.0,0.0,5,0.4167585130557245,0.019819370042755784,0.2825126600962654,0.006983985151018457,-0.0001503877772078166,0.0002342589587742178,,,9.80700431128381e-18,1.6445021568231695e-17
continuous_category_residual,content_quantity_interactions,DummyRegressor,25,1480.0,0.0,5,0.2445943488585643,0.006876165069483143,0.18555749140698496,0.0039110555658313844,-0.00015198067761295063,0.0002852039889721909,,,-1.5308633458086853e-17,9.871710739609043e-18
continuous_category_residual,content_quantity_interactions,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.40424426157150906,0.018295231095211716,0.2682539545805822,0.006205279619983391,0.05882633859902018,0.00761578384546573,0.28416212752682346,0.021161005532597334,0.24556917816864168,0.01997131449584077
continuous_category_residual,content_quantity_interactions,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.21619445030008277,0.006373335484094703,0.1598166135812522,0.004172244029213819,0.2185046765205742,0.01787994855834875,0.4854297601967813,0.019797860743500262,0.46799502740653576,0.019202621830816623
continuous_category_residual,content_quantity_interactions,Ridge,0,2704.0,0.0,5,0.4090155185317329,0.019970865358314625,0.27150834685205555,0.007508868749267954,0.036758317518691117,0.005903604379094504,0.284553035243358,0.014831259268332859,0.22966072022919287,0.013092185804184399
continuous_category_residual,content_quantity_interactions,Ridge,25,1480.0,0.0,5,0.21658638784609657,0.005627263161393221,0.16103055514715484,0.0032010772464875297,0.21567558350555824,0.008330613144559487,0.4953512039681228,0.005654605619905755,0.4713101568482762,0.006559883887407432
continuous_category_residual,content_quantity_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.4167585130557245,0.019819370042755784,0.2825126600962654,0.006983985151018457,-0.0001503877772078166,0.0002342589587742178,,,9.80700431128381e-18,1.6445021568231695e-17
continuous_category_residual,content_quantity_plus_reliability,DummyRegressor,25,1480.0,0.0,5,0.2445943488585643,0.006876165069483143,0.18555749140698496,0.0039110555658313844,-0.00015198067761295063,0.0002852039889721909,,,-1.5308633458086853e-17,9.871710739609043e-18
continuous_category_residual,content_quantity_plus_reliability,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.40205742558254637,0.018339234806680944,0.26689969872671176,0.007770806589490877,0.06899371469781765,0.009017235565261189,0.27946947374240094,0.03244787803125793,0.270165918326023,0.018069861829998923
continuous_category_residual,content_quantity_plus_reliability,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.2137592463451432,0.006554557683555968,0.15745696201355247,0.004626576960065638,0.23610595212067348,0.01460330329930297,0.497008601260843,0.014625119060118168,0.4867664237714345,0.015438643862150351
continuous_category_residual,content_quantity_plus_reliability,Ridge,0,2704.0,0.0,5,0.4048605577668785,0.020027905647684453,0.2693094067639296,0.007604015801637663,0.05626839995136683,0.00781798853997736,0.2810094729250724,0.015241007234739144,0.2605055748502397,0.012497040133341748
continuous_category_residual,content_quantity_plus_reliability,Ridge,25,1480.0,0.0,5,0.21295941111604416,0.005635422322907771,0.15838452561814487,0.003094748955739129,0.24175528822861403,0.006203439007245076,0.512360949231922,0.0074308980660515245,0.49762435195958077,0.0035023537174989614
continuous_category_residual,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.4167585130557245,0.019819370042755784,0.2825126600962654,0.006983985151018457,-0.0001503877772078166,0.0002342589587742178,,,9.80700431128381e-18,1.6445021568231695e-17
