seed,target,feature_set,model,min_rating_count_filter,n_obs,rmse,mae,r2,spearman,pearson
22,continuous_category_residual,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.3726694299810353,0.2595355841746949,0.06351877963854635,0.25670310059201745,0.25246758080625453
33,continuous_base_rating,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.42543437749401336,0.28556021744412846,-8.84180619609154e-06,,
33,continuous_base_rating,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.4135794351355327,0.2725751590759075,0.05494616125656604,0.2770337319561812,0.26656160813411867
33,continuous_base_rating,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.40781339936089583,0.2698996370736458,0.08111394376877079,0.26089788779041234,0.2925049061584705
33,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.14859526734266099,0.10674213659167908,-7.397072552484119e-05,,4.024345853795075e-15
33,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.13468055416799543,0.09884255610667056,0.17845386284313391,0.43972948781848586,0.43806843482557
33,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.1294656081419313,0.09320220376907955,0.24084405048768398,0.4513357385893579,0.4920400854143786
33,continuous_category_residual,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.42342225284842994,0.2840782844471857,-5.181500724038557e-07,,1.5902808329194858e-17
33,continuous_category_residual,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.4135793270948458,0.27257522875548296,0.04595136934661481,0.2638658695275535,0.25041366891903916
33,continuous_category_residual,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.40619365690349674,0.2686554637591205,0.07972178297914334,0.257999571741153,0.2855408098464212
44,continuous_base_rating,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.43085962838962566,0.290176568003555,-9.046226727638107e-05,,-1.4081349089411666e-15
44,continuous_base_rating,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.41759543625134105,0.27193355518771467,0.06053810858025144,0.29970352292033814,0.2641809165463715
44,continuous_base_rating,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.41369332678218407,0.26958100381231614,0.07801318321346673,0.3019119894035876,0.2915389548763996
44,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.14924609555450863,0.10907473719659637,-0.0011050260611122908,,6.271484555038345e-15
44,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.13217385703111909,0.09784454607736391,0.2148279848519985,0.47391582941582683,0.4682754915053557
44,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.12909106121373576,0.09361277710972322,0.2510272324890168,0.4911970875664315,0.502595425386989
44,continuous_category_residual,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.4293409446170198,0.2886705160440507,-7.949299453446912e-05,,1.224132605310319e-17
44,continuous_category_residual,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.41759557535456576,0.2719337183293831,0.0538898886608955,0.29522756207378814,0.2521284752680338
44,continuous_category_residual,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.4136088773518057,0.2694062090392827,0.07186829147107754,0.30716077921166374,0.27805845032502474
55,continuous_base_rating,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.4373023202029097,0.2914038094862819,-0.0006476089972884402,,
55,continuous_base_rating,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.4220315471462287,0.2786957049844254,0.06801820140168513,0.28161683881366434,0.27377322922286174
55,continuous_base_rating,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.41793389790716884,0.2717007133694164,0.08602820496735442,0.31412311792543474,0.2999758325883669
55,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.15559610479831926,0.11141422100795129,-8.312417619560364e-05,,-1.3289498509260756e-15
55,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.13971181199628838,0.10226607444859448,0.19368468615350842,0.4502147437385425,0.44456364586258
55,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.13675409847412284,0.09721407245469803,0.22746287449129654,0.46305111986042113,0.4801108702383285
55,continuous_category_residual,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.43501206535483083,0.2893717878587062,-0.0005616042940821409,,-8.685843176955561e-18
55,continuous_category_residual,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.42203140197984046,0.27869564705541466,0.05826055522207274,0.2709271817807923,0.2574628770166636
55,continuous_category_residual,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.4176289232953635,0.27350859047049125,0.07780584541198277,0.3028427957379904,0.28916920664607915
11,continuous_base_rating,content_only_core,DummyRegressor,25,1480,0.25148416719114774,0.18897456279809205,-4.2554356501245394e-05,,1.3960242413467512e-15
11,continuous_base_rating,content_only_core,Ridge,25,1480,0.22116366890495898,0.16411838857234246,0.22656333488530456,0.498963792648859,0.47889701000237056
